DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	ProductionType	ActualGenerationOutput	ActualConsumption	UpdateTime
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Hydro Run-of-river and poundage	6.5		2022-03-01 03:06:13
2022-03-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Hydro Run-of-river and poundage	6.5		2022-03-01 03:06:13
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Biomass	98.07		2022-03-04 16:17:17
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Hydro Pumped Storage		845.56	2022-03-04 16:17:48
2022-03-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Hydro Pumped Storage		845.56	2022-03-04 16:17:49
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Waste	284.44		2022-03-04 16:16:34
2022-03-01 00:00:00.000	PT60M	10YBE----------2	BZN	BE BZN	BE	Nuclear	4950.47		2022-03-04 16:17:14
2022-03-01 00:00:00.000	PT60M	10YBE----------2	CTY	BE CTY	BE	Nuclear	4950.47		2022-03-04 16:17:12
2022-03-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Fossil Brown coal/Lignite	2664.0		2022-03-01 11:34:39
2022-03-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Fossil Gas	439.0		2022-03-02 11:31:53
2022-03-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Waste	5.0		2022-03-01 11:34:39
2022-03-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Nuclear	2169.0		2022-03-01 11:34:40
2022-03-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Hydro Pumped Storage	0.0		2022-03-01 03:23:04
2022-03-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Wind Onshore	505.0		2022-03-02 11:39:21
2022-03-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Hydro Run-of-river and poundage	92.0		2022-03-02 11:31:53
2022-03-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Solar	0.0		2022-03-01 03:23:06
2022-03-01 00:00:00.000	PT60M	10YCA-BULGARIA-R	CTA	BG CTA	BG	Hydro Water Reservoir	9.0		2022-03-01 03:23:06
